tid	pref_name	target_type	accession	accession_organism	target_organism
10819	Acetylcholine receptor protein alpha chain	SINGLE PROTEIN	P02708	Homo sapiens	Homo sapiens
20053	Cellular tumor antigen p53	SINGLE PROTEIN	P04637	Homo sapiens	Homo sapiens
34	Fibronectin receptor beta	SINGLE PROTEIN	P05556	Homo sapiens	Homo sapiens
12071	Cyclin-dependent kinase 1	SINGLE PROTEIN	P06493	Homo sapiens	Homo sapiens
12661	Vitronectin receptor alpha	SINGLE PROTEIN	P06756	Homo sapiens	Homo sapiens
12946	Cyclin-dependent kinase 4	SINGLE PROTEIN	P11802	Homo sapiens	Homo sapiens
10892	Integrin alpha-4	SINGLE PROTEIN	P13612	Homo sapiens	Homo sapiens
10520	G2/mitotic-specific cyclin B1	SINGLE PROTEIN	P14635	Homo sapiens	Homo sapiens
74	GABA receptor alpha-1 subunit	SINGLE PROTEIN	P14867	Homo sapiens	Homo sapiens
10642	Neuronal acetylcholine receptor protein beta-2 subunit	SINGLE PROTEIN	P17787	Homo sapiens	Homo sapiens
10522	G1/S-specific cyclin D1	SINGLE PROTEIN	P24385	Homo sapiens	Homo sapiens
11775	G1/S-specific cyclin E1	SINGLE PROTEIN	P24864	Homo sapiens	Homo sapiens
11678	Cyclin-dependent kinase 2	SINGLE PROTEIN	P24941	Homo sapiens	Homo sapiens
11639	MAP kinase ERK1	SINGLE PROTEIN	P27361	Homo sapiens	Homo sapiens
11638	MAP kinase ERK2	SINGLE PROTEIN	P28482	Homo sapiens	Homo sapiens
11184	Neuronal acetylcholine receptor subunit alpha-3	SINGLE PROTEIN	P32297	Homo sapiens	Homo sapiens
10670	Neuronal acetylcholine receptor protein alpha-4 subunit	SINGLE PROTEIN	P43681	Homo sapiens	Homo sapiens
221	GABA receptor beta-2 subunit	SINGLE PROTEIN	P47870	Homo sapiens	Homo sapiens
12947	Cyclin-dependent kinase 5	SINGLE PROTEIN	Q00535	Homo sapiens	Homo sapiens
20131	p53-binding protein Mdm-2	SINGLE PROTEIN	Q00987	Homo sapiens	Homo sapiens
161	Glutamate (NMDA) receptor subunit zeta 1	SINGLE PROTEIN	Q05586	Homo sapiens	Homo sapiens
12715	Acetylcholine receptor protein delta chain	SINGLE PROTEIN	Q07001	Homo sapiens	Homo sapiens
