accession	level_1	level_2	level_3	level_4	level_5	level_6
O14732	Enzyme	Not available	NULL	NULL	NULL	NULL
P39051	Enzyme	Not available	NULL	NULL	NULL	NULL
P38631	Enzyme	Not available	NULL	NULL	NULL	NULL
P32476	Enzyme	Not available	NULL	NULL	NULL	NULL
P69996	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7LG56	Enzyme	Not available	NULL	NULL	NULL	NULL
Q92206	Enzyme	Not available	NULL	NULL	NULL	NULL
P15121	Enzyme	Not available	NULL	NULL	NULL	NULL
O13423	Enzyme	Not available	NULL	NULL	NULL	NULL
P31350	Enzyme	Not available	NULL	NULL	NULL	NULL
P07862	Enzyme	Not available	NULL	NULL	NULL	NULL
P14060	Enzyme	Not available	NULL	NULL	NULL	NULL
P13196	Enzyme	Not available	NULL	NULL	NULL	NULL
P30572	Enzyme	Not available	NULL	NULL	NULL	NULL
P0C002	Enzyme	Not available	NULL	NULL	NULL	NULL
P24024	Enzyme	Not available	NULL	NULL	NULL	NULL
P9WGY9	Enzyme	Not available	NULL	NULL	NULL	NULL
O13383	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P8N8	Enzyme	Not available	NULL	NULL	NULL	NULL
P0A7Y8	Enzyme	Not available	NULL	NULL	NULL	NULL
P32462	Enzyme	Not available	NULL	NULL	NULL	NULL
Q92813	Enzyme	Not available	NULL	NULL	NULL	NULL
P38791	Enzyme	Not available	NULL	NULL	NULL	NULL
Q06520	Enzyme	Not available	NULL	NULL	NULL	NULL
P09488	Enzyme	Not available	NULL	NULL	NULL	NULL
P14174	Enzyme	Not available	NULL	NULL	NULL	NULL
P08559	Enzyme	Not available	NULL	NULL	NULL	NULL
P23284	Enzyme	Not available	NULL	NULL	NULL	NULL
Q5R387	Enzyme	Not available	NULL	NULL	NULL	NULL
Q03013	Enzyme	Not available	NULL	NULL	NULL	NULL
P19858	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6QHF9	Enzyme	Not available	NULL	NULL	NULL	NULL
P04075	Enzyme	Not available	NULL	NULL	NULL	NULL
P56389	Enzyme	Not available	NULL	NULL	NULL	NULL
P19801	Enzyme	Not available	NULL	NULL	NULL	NULL
P11150	Enzyme	Not available	NULL	NULL	NULL	NULL
O95050	Enzyme	Not available	NULL	NULL	NULL	NULL
P43165	Enzyme	Not available	NULL	NULL	NULL	NULL
P48775	Enzyme	Not available	NULL	NULL	NULL	NULL
P30711	Enzyme	Not available	NULL	NULL	NULL	NULL
P0CG29	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9H1D9	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y2Y1	Enzyme	Not available	NULL	NULL	NULL	NULL
P00387	Enzyme	Not available	NULL	NULL	NULL	NULL
P18761	Enzyme	Not available	NULL	NULL	NULL	NULL
Q61239	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NZK7	Enzyme	Not available	NULL	NULL	NULL	NULL
P52961	Enzyme	Not available	NULL	NULL	NULL	NULL
P15531	Enzyme	Not available	NULL	NULL	NULL	NULL
P22392	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7RTV2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9HCU8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q925U2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9CPU0	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8VDP6	Enzyme	Not available	NULL	NULL	NULL	NULL
P04062	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9D6N1	Enzyme	Not available	NULL	NULL	NULL	NULL
P17425	Enzyme	Not available	NULL	NULL	NULL	NULL
P50135	Enzyme	Not available	NULL	NULL	NULL	NULL
P17858	Enzyme	Not available	NULL	NULL	NULL	NULL
P15289	Enzyme	Not available	NULL	NULL	NULL	NULL
P11245	Enzyme	Not available	NULL	NULL	NULL	NULL
P13444	Enzyme	Not available	NULL	NULL	NULL	NULL
P52623	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8QZT1	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64686	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64444	Enzyme	Not available	NULL	NULL	NULL	NULL
O95237	Enzyme	Not available	NULL	NULL	NULL	NULL
P04905	Enzyme	Not available	NULL	NULL	NULL	NULL
P23492	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9ERQ8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q91WG0	Enzyme	Not available	NULL	NULL	NULL	NULL
P54818	Enzyme	Not available	NULL	NULL	NULL	NULL
P00480	Enzyme	Not available	NULL	NULL	NULL	NULL
P56597	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y5B8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8CGR7	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8NCG5	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BWD1	Enzyme	Not available	NULL	NULL	NULL	NULL
P09210	Enzyme	Not available	NULL	NULL	NULL	NULL
P21266	Enzyme	Not available	NULL	NULL	NULL	NULL
O00519	Enzyme	Not available	NULL	NULL	NULL	NULL
P19217	Enzyme	Not available	NULL	NULL	NULL	NULL
P14550	Enzyme	Not available	NULL	NULL	NULL	NULL
P28300	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BTU6	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P0Z9	Enzyme	Not available	NULL	NULL	NULL	NULL
Q86WU2	Enzyme	Not available	NULL	NULL	NULL	NULL
O70252	Enzyme	Not available	NULL	NULL	NULL	NULL
P28494	Enzyme	Not available	NULL	NULL	NULL	NULL
Q15054	Enzyme	Not available	NULL	NULL	NULL	NULL
Q16775	Enzyme	Not available	NULL	NULL	NULL	NULL
O35952	Enzyme	Not available	NULL	NULL	NULL	NULL
P00636	Enzyme	Not available	NULL	NULL	NULL	NULL
P23141	Enzyme	Not available	NULL	NULL	NULL	NULL
P80147	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64563	Enzyme	Not available	NULL	NULL	NULL	NULL
P13929	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BTY2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q00796	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9CWJ9	Enzyme	Not available	NULL	NULL	NULL	NULL
P17439	Enzyme	Not available	NULL	NULL	NULL	NULL
P70470	Enzyme	Not available	NULL	NULL	NULL	NULL
P35575	Enzyme	Not available	NULL	NULL	NULL	NULL
Q86XP0	Enzyme	Not available	NULL	NULL	NULL	NULL
Q13526	Enzyme	Not available	NULL	NULL	NULL	NULL
P13697	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6IMK6	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8BUY9	Enzyme	Not available	NULL	NULL	NULL	NULL
P00697	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9WVM4	Enzyme	Not available	NULL	NULL	NULL	NULL
P32189	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8QGU2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q5E9B1	Enzyme	Not available	NULL	NULL	NULL	NULL
P49088	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6P7Q4	Enzyme	Not available	NULL	NULL	NULL	NULL
P97535	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9UKM7	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7Z4W1	Enzyme	Not available	NULL	NULL	NULL	NULL
P23589	Enzyme	Not available	NULL	NULL	NULL	NULL
P10938	Enzyme	Not available	NULL	NULL	NULL	NULL
P53611	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NWM8	Enzyme	Not available	NULL	NULL	NULL	NULL
P49888	Enzyme	Not available	NULL	NULL	NULL	NULL
P00507	Enzyme	Not available	NULL	NULL	NULL	NULL
