parent_molregno	accession	parent_chembl_id	target_organism	summary
97	B2RXH2	CHEMBL2	Homo sapiens	4.85
97	O15118	CHEMBL2	Homo sapiens	4.24
97	O15244	CHEMBL2	Homo sapiens	4.87
97	O15245	CHEMBL2	Homo sapiens	5.37
97	O75496	CHEMBL2	Homo sapiens	4.8
97	O75751	CHEMBL2	Homo sapiens	4.9
97	P00352	CHEMBL2	Homo sapiens	4.574999999999999
97	P02545	CHEMBL2	Homo sapiens	4.9
97	P03956	CHEMBL2	Homo sapiens	5.39
97	P04637	CHEMBL2	Homo sapiens	4.7
97	P06280	CHEMBL2	Homo sapiens	4.425000000000001
97	P08913	CHEMBL2	Homo sapiens	5.67
97	P0DMS8	CHEMBL2	Homo sapiens	9.07
97	P10253	CHEMBL2	Homo sapiens	4.475
97	P10636	CHEMBL2	Homo sapiens	4.65
97	P14780	CHEMBL2	Homo sapiens	5.16
97	P15428	CHEMBL2	Homo sapiens	4.55
97	P18089	CHEMBL2	Homo sapiens	6.54
97	P18825	CHEMBL2	Homo sapiens	7.02
97	P19838	CHEMBL2	Homo sapiens	4.9
97	P25100	CHEMBL2	Homo sapiens	9.36
97	P28482	CHEMBL2	Homo sapiens	4.8
97	P35348	CHEMBL2	Homo sapiens	9.26
97	P35368	CHEMBL2	Homo sapiens	9.195
97	P40225	CHEMBL2	Homo sapiens	4.7
97	P41595	CHEMBL2	Homo sapiens	5.48
97	P42345	CHEMBL2	Homo sapiens	4.78
97	P51151	CHEMBL2	Homo sapiens	4.2
97	P54132	CHEMBL2	Homo sapiens	4.6
97	Q01453	CHEMBL2	Homo sapiens	4.62
97	Q12809	CHEMBL2	Homo sapiens	4.7
97	Q16637	CHEMBL2	Homo sapiens	4.6
97	Q16665	CHEMBL2	Homo sapiens	4.7
97	Q86VL8	CHEMBL2	Homo sapiens	4.42
97	Q96FL8	CHEMBL2	Homo sapiens	5.8
97	Q99714	CHEMBL2	Homo sapiens	4.75
115	B2RXH2	CHEMBL3	Homo sapiens	4.4
115	P00352	CHEMBL3	Homo sapiens	4.55
115	P02708	CHEMBL3	Homo sapiens	5.0
115	P07510	CHEMBL3	Homo sapiens	5.2
115	P10636	CHEMBL3	Homo sapiens	4.65
115	P11230	CHEMBL3	Homo sapiens	5.2
