molregno	level5	level1_description	level2_description	level3_description	level4_description
1376553	M03BA05	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	Carbamic acid esters
458338	N02BG06	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Other analgesics and antipyretics
2203	N02CA52	NERVOUS SYSTEM	ANALGESICS	ANTIMIGRAINE PREPARATIONS	Ergot alkaloids
1406675	R03BB01	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	Anticholinergics
2046	C03CA01	CARDIOVASCULAR SYSTEM	DIURETICS	HIGH-CEILING DIURETICS	Sulfonamides, plain
48849	A01AB03	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Antiinfectives and antiseptics for local oral treatment
364520	G03BA03	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ANDROGENS	3-oxoandrosten (4) derivatives
328137	G03CC06	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ESTROGENS	Estrogens, combinations with other drugs
989360	M01AX04	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Other antiinflammatory and antirheumatic agents, non-steroids
1379624	L03AX15	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSTIMULANTS	IMMUNOSTIMULANTS	Other immunostimulants
674490	A02AC01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	ANTACIDS	Calcium compounds
374037	J01XX09	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER ANTIBACTERIALS	Other antibacterials
794445	R03DA05	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Xanthines
674678	V09GX04	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	CARDIOVASCULAR SYSTEM	Other cardiovascular system diagnostic radiopharmaceuticals
675009	B05XA17	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	I.V. SOLUTION ADDITIVES	Electrolyte solutions
1627947	A05BA06	ALIMENTARY TRACT AND METABOLISM	BILE AND LIVER THERAPY	LIVER THERAPY, LIPOTROPICS	Liver therapy
43086	C02CC02	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Guanidine derivatives
675704	C10AA08	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	HMG CoA reductase inhibitors
1376805	C10AC01	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	Bile acid sequestrants
674662	C10AX06	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	Other lipid modifying agents
1376866	N04AA11	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	ANTICHOLINERGIC AGENTS	Tertiary amines
1376543	N04AC30	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	ANTICHOLINERGIC AGENTS	Ethers of tropine or tropine derivatives
99389	N05BC01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Carbamates
1383207	C04AX11	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Other peripheral vasodilators
