molregno	level5	level1_description	level2_description	level3_description	level4_description
97	C02CA01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Alpha-adrenoreceptor antagonists
115	N07BA01	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	DRUGS USED IN ADDICTIVE DISORDERS	Drugs used in nicotine dependence
146	J01MA01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
146	S01AE01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
146	S02AA16	SENSORY ORGANS	OTOLOGICALS	ANTIINFECTIVES	Antiinfectives
147	J01MB02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Other quinolones
173	S01BC01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Antiinflammatory agents, non-steroids
173	M02AA23	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
173	C01EB03	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	OTHER CARDIAC PREPARATIONS	Other cardiac preparations
173	M01AB51	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
173	M01AB01	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
194	J01CG01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase inhibitors
207	J01CG02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase inhibitors
241	J01MA02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
241	S01AE03	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
241	S03AA07	SENSORY ORGANS	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	ANTIINFECTIVES	Antiinfectives
241	S02AA15	SENSORY ORGANS	OTOLOGICALS	ANTIINFECTIVES	Antiinfectives
246	J01MA06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
246	S01AE02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
543	N06BA01	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
556	C05AE02	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Muscle relaxants
556	C01DA58	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
556	C01DA08	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
573	N06AX03	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
605	N06AA02	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
619	C03BA11	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, EXCL. THIAZIDES	Sulfonamides, plain
635	V03AB25	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
666	A10BG01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Thiazolidinediones
717	L02BB03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
721	N05BA01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
789	C07AB02	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
860	G03CC05	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ESTROGENS	Estrogens, combinations with other drugs
860	L02AA01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Estrogens
860	G03CB02	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ESTROGENS	Synthetic estrogens, plain
880	C02BB01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, GANGLION-BLOCKING	Secondary and tertiary amines
892	S01EB02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Parasympathomimetics
