CUI	MEDDRA	MEDDRA_ID	MEDDRA TYPE	MESH	MESH_ID	MESH TYPE
C0000729	ABDOMINAL CRAMPS	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	ABDOMINAL CRAMPS	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	ABDOMINAL CRAMPS	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	ABDOMINAL CRAMPS	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000729	ABDOMINAL CRAMP	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	ABDOMINAL CRAMP	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	ABDOMINAL CRAMP	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	ABDOMINAL CRAMP	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000729	CRAMP ABDOMINAL	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	CRAMP ABDOMINAL	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	CRAMP ABDOMINAL	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	CRAMP ABDOMINAL	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000729	ABDOMINAL CRAMPY PAINS	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	ABDOMINAL CRAMPY PAINS	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	ABDOMINAL CRAMPY PAINS	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	ABDOMINAL CRAMPY PAINS	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000729	GRIPING ABDOMINAL	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	GRIPING ABDOMINAL	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	GRIPING ABDOMINAL	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	GRIPING ABDOMINAL	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000729	GRIPING ABDOMEN	10000081	LLT	ABDOMINAL CRAMPS	D003085	PEP
C0000729	GRIPING ABDOMEN	10000081	LLT	ABDOMINAL CRAMP	D003085	PM
C0000729	GRIPING ABDOMEN	10000081	LLT	CRAMP, ABDOMINAL	D003085	PM
C0000729	GRIPING ABDOMEN	10000081	LLT	CRAMPS, ABDOMINAL	D003085	PM
C0000737	PAIN ABDOMINAL	10000081	LLT	ABDOMINAL PAIN	D015746	MH
C0000737	PAIN ABDOMINAL	10000081	LLT	ABDOMINAL PAINS	D015746	PM
C0000737	PAIN ABDOMINAL	10000081	LLT	PAINS, ABDOMINAL	D015746	PM
C0000737	PAIN ABDOMINAL	10000081	LLT	PAIN, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	LLT	ABDOMINAL PAIN	D015746	MH
C0000737	ABDOMINAL PAIN	10000081	LLT	ABDOMINAL PAINS	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	LLT	PAINS, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	LLT	PAIN, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	PT	ABDOMINAL PAIN	D015746	MH
C0000737	ABDOMINAL PAIN	10000081	PT	ABDOMINAL PAINS	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	PT	PAINS, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN	10000081	PT	PAIN, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN NOS	10000081	LLT	ABDOMINAL PAIN	D015746	MH
C0000737	ABDOMINAL PAIN NOS	10000081	LLT	ABDOMINAL PAINS	D015746	PM
C0000737	ABDOMINAL PAIN NOS	10000081	LLT	PAINS, ABDOMINAL	D015746	PM
C0000737	ABDOMINAL PAIN NOS	10000081	LLT	PAIN, ABDOMINAL	D015746	PM
C0000737	ABD. PAIN	10000081	OL	ABDOMINAL PAIN	D015746	MH
C0000737	ABD. PAIN	10000081	OL	ABDOMINAL PAINS	D015746	PM
C0000737	ABD. PAIN	10000081	OL	PAINS, ABDOMINAL	D015746	PM
C0000737	ABD. PAIN	10000081	OL	PAIN, ABDOMINAL	D015746	PM
C0000737	ABDO PAIN	10000081	OL	ABDOMINAL PAIN	D015746	MH
C0000737	ABDO PAIN	10000081	OL	ABDOMINAL PAINS	D015746	PM
C0000737	ABDO PAIN	10000081	OL	PAINS, ABDOMINAL	D015746	PM
C0000737	ABDO PAIN	10000081	OL	PAIN, ABDOMINAL	D015746	PM
C0000737	PAIN ABDO	10000081	OL	ABDOMINAL PAIN	D015746	MH
C0000737	PAIN ABDO	10000081	OL	ABDOMINAL PAINS	D015746	PM
C0000737	PAIN ABDO	10000081	OL	PAINS, ABDOMINAL	D015746	PM
C0000737	PAIN ABDO	10000081	OL	PAIN, ABDOMINAL	D015746	PM
C0000737	GUT PAIN	10017999	LLT	ABDOMINAL PAIN	D015746	MH
C0000737	GUT PAIN	10017999	LLT	ABDOMINAL PAINS	D015746	PM
C0000737	GUT PAIN	10017999	LLT	PAINS, ABDOMINAL	D015746	PM
C0000737	GUT PAIN	10017999	LLT	PAIN, ABDOMINAL	D015746	PM
C0000786	SPONTANEOUS ABORTION	10000234	LLT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	SPONTANEOUS ABORTION	10000234	LLT	SPONTANEOUS ABORTION	D000022	ET
C0000786	SPONTANEOUS ABORTION	10000234	LLT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	SPONTANEOUS ABORTION	10000234	LLT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	ABORTION SPONTANEOUS	10000234	LLT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	ABORTION SPONTANEOUS	10000234	LLT	SPONTANEOUS ABORTION	D000022	ET
C0000786	ABORTION SPONTANEOUS	10000234	LLT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	ABORTION SPONTANEOUS	10000234	LLT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	ABORTION SPONTANEOUS	10000234	PT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	ABORTION SPONTANEOUS	10000234	PT	SPONTANEOUS ABORTION	D000022	ET
C0000786	ABORTION SPONTANEOUS	10000234	PT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	ABORTION SPONTANEOUS	10000234	PT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	ABORTION SPONTANEOUS NOS	10000234	LLT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	ABORTION SPONTANEOUS NOS	10000234	LLT	SPONTANEOUS ABORTION	D000022	ET
C0000786	ABORTION SPONTANEOUS NOS	10000234	LLT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	ABORTION SPONTANEOUS NOS	10000234	LLT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	ABORTIONS SPONTANEOUS	10000235	HT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	ABORTIONS SPONTANEOUS	10000235	HT	SPONTANEOUS ABORTION	D000022	ET
C0000786	ABORTIONS SPONTANEOUS	10000235	HT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	ABORTIONS SPONTANEOUS	10000235	HT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	MISCARRIAGE	10000234	LLT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	MISCARRIAGE	10000234	LLT	SPONTANEOUS ABORTION	D000022	ET
C0000786	MISCARRIAGE	10000234	LLT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	MISCARRIAGE	10000234	LLT	SPONTANEOUS ABORTIONS	D000022	PM
C0000786	MISCARRIAGE OF PREGNANCY	10000234	LLT	ABORTION, SPONTANEOUS	D000022	MH
C0000786	MISCARRIAGE OF PREGNANCY	10000234	LLT	SPONTANEOUS ABORTION	D000022	ET
C0000786	MISCARRIAGE OF PREGNANCY	10000234	LLT	ABORTIONS, SPONTANEOUS	D000022	PM
C0000786	MISCARRIAGE OF PREGNANCY	10000234	LLT	SPONTANEOUS ABORTIONS	D000022	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	LLT	ABORTION, INCOMPLETE	D000027	MH
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	LLT	ABORTIONS, INCOMPLETE	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	LLT	INCOMPLETE ABORTIONS	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	LLT	INCOMPLETE ABORTION	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	PT	ABORTION, INCOMPLETE	D000027	MH
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	PT	ABORTIONS, INCOMPLETE	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	PT	INCOMPLETE ABORTIONS	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE	10061617	PT	INCOMPLETE ABORTION	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE NOS	10061617	LLT	ABORTION, INCOMPLETE	D000027	MH
C0000810	ABORTION SPONTANEOUS INCOMPLETE NOS	10061617	LLT	ABORTIONS, INCOMPLETE	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE NOS	10061617	LLT	INCOMPLETE ABORTIONS	D000027	PM
C0000810	ABORTION SPONTANEOUS INCOMPLETE NOS	10061617	LLT	INCOMPLETE ABORTION	D000027	PM
C0000822	TUBAL ABORTION	10066266	LLT	ABORTION, TUBAL	D000022	PEP
C0000822	TUBAL ABORTION	10066266	LLT	ABORTIONS, TUBAL	D000022	PM
C0000822	TUBAL ABORTION	10066266	LLT	TUBAL ABORTIONS	D000022	PM
