accession	parent_molregno	integrated_plasma_activity	predicted
O15118	97	0.0	0
P00352	97	0.0	0
P02545	97	0.0	0
P04637	97	0.0	0
P08913	97	0.0	0
P0DMS8	97	1.0	0
P10636	97	0.0	0
P18089	97	1.0	0
P18825	97	1.0	0
P19838	97	0.0	0
P25100	97	1.0	0
P28482	97	0.0	0
P35348	97	1.0	0
P35368	97	1.0	0
P40225	97	0.0	0
P41595	97	0.0	0
P42345	97	0.0	0
P51151	97	0.0	0
P54132	97	0.0	0
Q12809	97	0.0	0
Q16637	97	0.0	0
Q16665	97	0.0	0
Q96FL8	97	0.0	0
Q99714	97	0.0	0
P00352	115	0.0	0
P10636	115	0.0	0
P17787	115	1.0	0
P32297	115	1.0	0
P43681	115	1.0	0
P54132	115	1.0	0
P00352	146	0.0	0
Q99714	146	0.0	0
P02545	147	1.0	0
P19838	147	1.0	0
P54132	147	1.0	0
Q99714	147	1.0	0
P02545	173	0.0	0
P08183	173	0.0	0
P10275	173	1.0	0
P10636	173	0.0	0
P23219	173	1.0	0
P35354	173	0.0	0
P42330	173	1.0	0
P42345	173	0.0	0
P51151	173	0.0	0
P52895	173	0.0	0
Q16665	173	0.0	0
Q6W5P4	173	0.0	0
P00352	241	0.0	0
P02545	241	0.0	0
Q99714	241	0.0	0
P00352	246	0.0	0
P02545	246	0.0	0
P16473	246	0.0	0
P42858	246	0.0	0
Q6W5P4	246	0.0	0
Q99714	246	0.0	0
P00352	573	0.0	0
P02545	573	1.0	0
P04637	573	0.0	0
P08172	573	1.0	0
P08173	573	1.0	0
P08912	573	1.0	0
P08913	573	1.0	0
P11229	573	1.0	0
P14416	573	0.0	0
P18089	573	1.0	0
P18825	573	1.0	0
P20309	573	1.0	0
P21728	573	1.0	0
P23975	573	1.0	0
P25021	573	1.0	0
P25100	573	1.0	0
P28223	573	1.0	0
P28335	573	1.0	0
P31645	573	0.0	0
P34969	573	1.0	0
P35367	573	1.0	0
P35462	573	0.0	0
P41595	573	1.0	0
P42858	573	0.0	0
P50406	573	1.0	0
P51151	573	0.0	0
P54132	573	0.0	0
Q16637	573	0.0	0
P00352	605	0.0	0
P02545	605	0.0	0
P0DMS8	605	1.0	0
P10636	605	0.0	0
P14416	605	1.0	0
P23975	605	1.0	0
P28223	605	1.0	0
P31645	605	1.0	0
P35367	605	1.0	0
P42345	605	0.0	0
Q01959	605	0.0	0
Q12809	605	0.0	0
Q16637	605	0.0	0
O43570	619	1.0	0
P00352	619	0.0	0
P00915	619	0.0	0
P00918	619	1.0	0
P22748	619	1.0	0
P23280	619	1.0	0
P35218	619	1.0	0
P43166	619	1.0	0
Q16637	619	1.0	0
Q16790	619	1.0	0
Q8N1Q1	619	1.0	0
Q9ULX7	619	0.0	0
Q9Y2D0	619	1.0	0
P00352	635	0.0	0
P16473	635	1.0	0
P18507	635	1.0	0
P28472	635	1.0	0
P34903	635	1.0	0
Q16637	635	0.0	0
P00918	666	1.0	0
P0DMS8	666	0.0	0
P10636	666	0.0	0
P11712	666	0.0	0
P21397	666	0.0	0
P24557	666	0.0	0
P27338	666	0.0	0
P28482	666	0.0	0
P41595	666	0.0	0
P46063	666	0.0	0
Q9NUW8	666	0.0	0
P10828	691	0.0	0
P42858	691	0.0	0
P10275	717	1.0	0
P0DMS8	721	1.0	0
P14867	721	1.0	0
P18507	721	1.0	0
P28472	721	1.0	0
P34903	721	1.0	0
P47869	721	1.0	0
P47870	721	1.0	0
P07550	789	0.0	0
P08588	789	1.0	0
Q6W5P4	789	1.0	0
Q9NUW8	789	1.0	0
P02545	880	0.0	0
P00352	921	0.0	0
P02545	921	0.0	0
P10636	921	0.0	0
P10828	921	0.0	0
P54132	921	1.0	0
P08183	923	0.0	0
P08684	923	0.0	0
P11712	923	0.0	0
P33261	923	0.0	0
P42345	923	1.0	0
P08684	924	1.0	0
P42345	924	1.0	0
P02545	996	0.0	0
P04637	996	0.0	0
P08172	996	1.0	0
P08173	996	1.0	0
P08912	996	1.0	0
P08913	996	1.0	0
P10635	996	0.0	0
P10636	996	0.0	0
P10828	996	0.0	0
P11229	996	1.0	0
P14416	996	1.0	0
P16473	996	1.0	0
P18089	996	1.0	0
P18825	996	1.0	0
P20309	996	1.0	0
P21728	996	1.0	0
P23975	996	1.0	0
P25021	996	0.0	0
P25100	996	1.0	0
P28223	996	1.0	0
P28335	996	1.0	0
P28482	996	0.0	0
P31645	996	1.0	0
P35367	996	1.0	0
P35462	996	1.0	0
P40225	996	0.0	0
P41595	996	1.0	0
P42345	996	0.0	0
P50406	996	1.0	0
Q01959	996	0.0	0
Q16637	996	0.0	0
Q6W5P4	996	0.0	0
Q99720	996	1.0	0
O43570	1085	1.0	0
P00915	1085	1.0	0
P00918	1085	1.0	0
P02545	1085	1.0	0
