parent_molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration	accession	summary	Ratio	Difference	integrated_plasma_activity
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	B2RXH2	4.85	0.6659678864571615	-2.4326334401816183	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	O15118	4.24	0.5822069770264671	-3.0426334401816177	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	O15244	4.87	0.6687141457827581	-2.412633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	O15245	5.37	0.7373706289226717	-1.9126334401816178	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	O75496	4.8	0.6591022381431703	-2.482633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P00352	4.574999999999999	0.6282068207302091	-2.7076334401816187	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P02545	4.9	0.672833534771153	-2.3826334401816176	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P04637	4.7	0.6453709415151876	-2.582633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P06280	4.425000000000001	0.6076098757882352	-2.8576334401816172	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P08913	5.67	0.7785645188066198	-1.612633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P0DMS8	9.07	1.2454286041580322	1.7873665598183823	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P10253	4.475	0.6144755241022264	-2.8076334401816183	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P10636	4.65	0.6385052932011962	-2.6326334401816176	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P15428	4.55	0.6247739965732134	-2.732633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P18089	6.54	0.8980267994700695	-0.7426334401816179	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P18825	7.02	0.9639370232843865	-0.2626334401816184	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P19838	4.9	0.672833534771153	-2.3826334401816176	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P25100	9.36	1.285249364379182	2.0773665598183815	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P28482	4.8	0.6591022381431703	-2.482633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P35348	9.26	1.2715180677511992	1.9773665598183818	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P35368	9.195	1.2625927249430104	1.9123665598183823	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P40225	4.7	0.6453709415151876	-2.582633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P41595	5.48	0.7524750552134528	-1.8026334401816175	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P42345	4.78	0.6563559788175738	-2.5026334401816177	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P51151	4.2	0.576714458375274	-3.082633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P54132	4.6	0.6316396448872048	-2.6826334401816183	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q01453	4.62	0.6343859042128014	-2.662633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q12809	4.7	0.6453709415151876	-2.582633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q16637	4.6	0.6316396448872048	-2.6826334401816183	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q16665	4.7	0.6453709415151876	-2.582633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q86VL8	4.42	0.6069233109568359	-2.862633440181618	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q96FL8	5.8	0.7964152044229974	-1.4826334401816181	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q99714	4.75	0.6522365898291789	-2.532633440181618	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	B2RXH2	4.4	0.6534941375193761	-2.333036682933579	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P00352	4.55	0.6757723467529911	-2.1830366829335794	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P10636	4.65	0.690624486242068	-2.083036682933579	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P54132	6.05	0.898554439089142	-0.6830366829335794	1
146	CHEMBL4	OFLOXACIN	8.025015911669479e-06	5.0955540978211085	6.018761933752107e-06	5.220492834429408	B2RXH2	4.725	0.9272789395014842	-0.3705540978211088	1
146	CHEMBL4	OFLOXACIN	8.025015911669479e-06	5.0955540978211085	6.018761933752107e-06	5.220492834429408	P00352	4.6	0.9027477506257836	-0.4955540978211088	1
146	CHEMBL4	OFLOXACIN	8.025015911669479e-06	5.0955540978211085	6.018761933752107e-06	5.220492834429408	P15428	5.05	0.9910600305783059	-0.04555409782110864	1
146	CHEMBL4	OFLOXACIN	8.025015911669479e-06	5.0955540978211085	6.018761933752107e-06	5.220492834429408	Q99714	4.8	0.9419976528269046	-0.29555409782110864	1
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552188e-05	4.985725781112012	B2RXH2	4.5	1.1571646147161239	0.6111842318960452	1
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552188e-05	4.985725781112012	P02545	6.050000000000001	1.5557435375627888	2.161184231896046	1
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552188e-05	4.985725781112012	P19838	8.46	2.175469475666313	4.571184231896046	1
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552188e-05	4.985725781112012	P54132	8.15	2.09575369109698	4.261184231896046	1
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552188e-05	4.985725781112012	Q99714	6.9	1.7743190758980567	3.0111842318960456	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	B2RXH2	5.0	0.9519098562752313	-0.2525982024860145	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P02545	4.95	0.9423907577124789	-0.3025982024860143	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P08183	4.525	0.8614784199290844	-0.7275982024860141	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P10275	9.85	1.8752624168622054	4.597401797513985	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P10636	4.7	0.8947952648987174	-0.5525982024860143	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P23219	6.91	1.3155394213723697	1.6574017975139856	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P35354	5.87	1.1175421712671214	0.6174017975139856	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P42330	6.14	1.1689453035059838	0.8874017975139852	1
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.2525982024860145	5.589871153469912e-08	7.2525982024860145	P42345	5.33	1.0147359067893964	0.07740179751398557	1
