parent_molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration	accession	summary	Ratio	Difference	integrated_plasma_activity
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	B2RXH2	4.85	0.5702875133089335	-3.6544821897979745	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	O15245	5.37	0.6314317415399944	-3.134482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P00352	4.574999999999999	0.5379516233790455	-3.929482189797975	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P02545	4.9	0.5761667660234586	-3.6044821897979737	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P06280	4.425000000000001	0.5203138652354703	-4.079482189797973	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P08913	5.67	0.6667072578271449	-2.834482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P0DMS8	9.07	1.0664964424148509	0.5655178102020262	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P10253	4.475	0.5261931179499953	-4.0294821897979745	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P10636	4.65	0.5467705024508331	-3.8544821897979737	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P15428	4.55	0.5350119970217829	-3.9544821897979743	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P18089	6.54	0.7690062550598814	-1.964482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P18825	7.02	0.8254470811193222	-1.4844821897979745	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P19838	4.9	0.5761667660234586	-3.6044821897979737	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P25100	9.36	1.1005961081590963	0.8555178102020253	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P28482	4.8	0.5644082605944084	-3.7044821897979743	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P35348	9.26	1.0888376027300462	0.7555178102020257	1
