Substance	Salts	Synonym	Blood-plasma concentration (mg/L) therapeutic (normal) upper limit	Unit
Abacavir			3.9	
Acamprosate			0.7	
Acebutolol			2	
Acenocoumarol			0.5	
Acetaldehyde			30	
Acetazolamide			20	
Acetohexamide			70	
Acetone			20	
Acetyldigoxin			0.0008	
Acetylsalicylic acid			200	
Acitretin			0.05	
Acrivastine			0.07	
Acyclovir			15	
Adalimumab			9	
Adipiodone	meglumine		1200	
Agomelatine			0.3	
Ajmaline			2.21	
Albendazole			1.5	
Alcuronium			3	
Aldrin			0.0015	
Alendronate		Alendronic acid	0.265	
Alfentanil			0.6	
Alfuzosine			0.06	
Alimemazine		Trimeprazine	0.4	
Alizapride			2	
Allobarbital			5	
Allopurinol			19	
Almotriptan			0.07	
Alphaprodine			1	
Alprazolam			0.08	
Alprenolol			0.14	
4-Hydroxyalprenolol			0.06	
Aluminium			0.005	
Amantadine			1	
Amikacin			30	
Aminobenzoic acid			600	
Aminoglutethimide			25	
Aminophenazone			20	
4-Aminopyridine		Fampridine	0.075	
Amiodarone			2.5	
Amisulpride			0.4	
Amitriptyline			0.3	
Amlodipine			0.015	
Ammonia			1.7	
Amobarbital			5	
Amodiaquine			0.05	
Amoxapine 			0.6	
Amoxicillin			15	
Amphetamine		Selegiline	0.1	
Amphotericin B			3	
Ampicillin			20	
Amrinone			4	
Amsacrine			5.5	
Anileridine			0.5	
Antimony			0.01	
Aprindine			2	
Aprobarbital			20	
Aripiprazole			0.5	
Arsenic			0.07	
Asenapine			0.005	
Articaine			2	
Ascorbic acid 		Vitamin C	15	
Astemizole			0.05	
Atazanavir			0.15	
Atenolol			2	
Atomoxetine			1	
Atovaquone			6.9	
Atracurium	besylate		5	
Atropine			0.025	
Azapropazone		Apazone	90	
Azathioprine			2	
Azelastine			0.01	
Azithromycin			1	
Aztreonam			250	
Baclofen			0.6	
Barbital			20	
Barium			0.001	
Bendrofluazide			0.1	
Benoxaprofen			50	
Benperidol			0.01	
Benzbromarone			10	
Benzene			0.0002	
Benzoylecgonine			0.1	
Benzphetamine			0.5	
Benztropine			0.18	
Benzylpenicillin			12	
Bepridil			2.5	
Beryllium			0.0003	
Betacarotene 			6	
Betaxolol			0.05	
Bethanidine			0.5	
Bevantolol			2	
Bezafibrate			15	
Bicalutamide			25	
Biperiden			0.1	
Bismuth		"Wismut, Bismut"	0.1	
Bisoprolol			0.1	
Bopindolol			0.015	
Borate			7	
Boron			6	
Bornaprine			0.0072	
Brallobarbital		Brallobarbitone	8	
Bretylium			2.4	
Bromazepam			0.2	
Bromide			300	
Bromisoval			20	
Bromocriptine			0.004	
Bromperidol			0.02	
Brompheniramine			0.015	
Brotizolam			0.02	
Budipine			0.3	
Buflomedil			1	
Bunitrolol			0.015	
Bupivacaine			2	
Buprenorphine			0.1	
Bupropion 		Amfebutamone	0.1	
Buspirone			0.004	
Busulfan			0.9	
Butalbital			5	
Butanone			10	
Butaperazine			0.7	
Butorphanol			0.002	
Butriptyline			0.15	
Butylscopolamine			0.7	
Cabergoline			144	
Cadmium			0.0065	
Caffeine 		Coffein	10	
Calcifediol			0.05	
Camazepam			0.6	
Candesartan			0.18	
Captopril			0.5	
Carazolol			0.015	
Carbachol			0.01	
Carbamazepine			12	
Carbenoxolone			30	
Carbidopa			0.2	
Carbimazole			3.4	
Carbinoxamine			0.04	
Carboc(h)romene		CHROMONAR	3	
Carbon tetrachloride			0.07	
Carboplatin			25	
Carbromal		Carbromalum	10	
Carisoprodol			30	
Carteolol			0.1	
Carvedilol			0.3	
Cathine			0.71	
Cefaclor			900	
Cefadroxil			30	
Cefalexin			65	
Cefaloridine			80	
Cefamandole			150	
Cefazolin			150	
Cefdinir			4	
Cefepime			160	
Cefetamet			7	
Cefixime			7	
Cefmenoxime			200	
Cefodizime			400	
Cefoperazone			250	
Cefotaxime			225	
Cefotetan			90	
Cefotiam			150	
Cefoxitin			150	
Cefpodoxime			7	
Cefsulodin			100	
Ceftazidime			200	
Ceftibuten			20	
Ceftizoxime			160	
Ceftriaxone			75	
Cefuroxime			180	
Celecoxib48			0.8	
Celiprolol			1	
Cephalothin		Cefalotin	30	
Cerivastatin			0.04	
Cetirizine			0.3	
Chloralhydrate			15	
Chlorambucil			1	
Chloramphenicol			25	
Chlordane			0.001	
Chlordiazepoxide			3	
Chlormezanone			14	
Chloroform			50	
Chloroquine			0.5	
Chlorothiazide			6	
Chlorphen(ir)amine			0.017	
Chlorpromazine			0.5	
Chlorpropamide			150	
Chlorprothixene			0.3	
Chlortalidone			1.4	
Chlortetracycline			10	
Chromium			0.00035	
Cibenzoline			0.9	
Cicletanine			2	
Ciclosporine A		CsA	0.25	
Cidofovir			43	
Cilazapril		Cilazaprilat	0.09	
Cimetidine			4	
Cinnarizine			0.33	
Cinoxacin			15	
Ciprofloxacin			4	
Cisaprid			0.08	
Citalopram			0.11	
Cladribine			0.06	
Clarithromycin			2	
Clemastine			0.002	
Clenbuterol			0.0006	
Clindamycin			0.5	
Clobazam			0.3	
Clobutinol			0.2	
Clofibrate			250	
Clomethiazole		Chlormethiazole	5	
Clomipramine			0.4	
Clonazepam			0.08	
Clonidine			0.004	
Clopenthixol			0.015	
Clopidogrel			0.006	
Clotiazepam			0.7	
Cloxacillin			85	
Clozapine			0.35	
Cobalt			0.0022	
Cocaine			0.3	
Codeine			0.25	
Colchicine			0.0025	
Colistin			5	
Copper			1.5	
Cromolyn 		Cromoglycate	0.01	
Cyclizine			0.25	
Cyclobarbital			6	
Cyclobenzaprine			0.04	
Cyclohexane			0.4	
Cyclophosphamide			25	
Cyclopropane			180	
Cyproheptadine			0.05	
Cysteamine			20	umol/L
Cytarabine			0.5	
Danazol			0.2	
Dantrolene			3	
Dapsone48			2	
Darunavir		DRV	7.368	
Deferoxamine		Desferrioxamine	15	
Demoxepam			0.74	
Desipramine			0.25	
Desloratadine			0.006	
Desvenlafaxine			0.4	
Detajmium			0.7	
Dexamethasone			0.265	
Dexfenfluramine			0.06	
Dexketoprofen			3.7	
Dexmethylphenidate			0.023	
Dextromethorphan			0.04	
Dextromoramide			0.15	
Dextropropoxyphene		Propoxyphene	0.5	
"3,4-Diaminopyridin"		DAP	0.1	
Diazepam			2.5	
Diazoxide			50	
Dibenzepine			0.5	
Diclofenac			3	
Dicoumarol			30	
Dicyclomine 		Dicycloverin	0.1	
Didanosine		DDI	30	umol/L
Dieldrin			0.0015	
Diethylcarbamazine			1	
Diethylpentenamide 		Valdetamide	10	
Diethylpropion			0.2	
Diflunisal			200	
Digitoxin			0.025	
Digoxin			0.002	
Dihydrocodeine			0.25	
Dihydroergotamine			0.01	
Diltiazem			0.25	
Dimethadione			1000	
Dimethindene			0.05	
"N,N-Dimethyltryptamine"			0.1	
Dinitro-O-cresol		DNOC	5	
Diphenhydramine			0.1	
Diphenoxylate			0.01	
Dipipanone			0.05	
Dipyridamole			1.5	
Disopyramide			7	
Disulfiram			0.4	
Dixyrazine			0.3	
Domperidone			0.1	
Donepezil			0.075	
Dothiepin		Dosulepin	0.1	
Doxacurium			0.3	
Doxapram			5	
Doxazosin			0.15	
Doxepin			0.1	
Doxorubicin		Adriamycin	0.02	
Doxycycline			10	
Doxylamine			0.2	
