Original drug name	chembl_id	molregno	PPB	PPB upper	ETCP unbound (nM)	ETCP unbound (nM) upper	PMID
AMIODARONE	CHEMBL633	27185	99.98		0.1	0.5	PMID12667944
CHLORPROMAZINE	CHEMBL71	6216	96.5		3.0	38.0	PMID12667944
DESIPRAMINE	CHEMBL72	6243	82.0		27.0	108.0	PMID12667944
DISOPYRAMIDE	CHEMBL517	11143	58.0		247.0	742.0	PMID12667944
FLUOXETINE	CHEMBL41	2223	94.0		9.0	29.0	PMID12667944
HALOPERIDOL	CHEMBL54	3859	92.0		1.2	3.6	PMID12667944
IMIPRAMINE	CHEMBL11	605	90.1		35.0	106.0	PMID12667944
KETOCONAZOLE	CHEMBL157101	255904	99.0		28.0	177.0	PMID12667944
LORATADINE	CHEMBL998	110803	98.0		0.1	0.45	PMID12667944
MEFLOQUINE	CHEMBL416956	51162	98.0		95.2		PMID12667944
PHENYTOIN	CHEMBL16	921	89.0		4360.0		PMID12667944
QUINIDINE	CHEMBL1294	255477	85.0		924.0	3237.0	PMID12667944
RISPERIDONE	CHEMBL85	7714	88.0		0.61	1.81	PMID12667944
TAMOXIFEN	CHEMBL83	6968	98.8		1.0	21.0	PMID12667944
TOCAINIDE	CHEMBL1762	583520	10.0		1405.0	4683.0	PMID12667944
VERAPAMIL	CHEMBL6966	1219	90.0		25.0	81.0	PMID12667944
NIFEDIPINE	CHEMBL193	419596	96.0		3.1	7.7	PMID12667944
NITRENDIPINE	CHEMBL475534	453570	98.0		0.11	3.02	PMID12667944
CETIRIZINE	CHEMBL1000	111185	93.0		56.0		PMID12667944
DIPHENHYDRAMINE	CHEMBL657	27629	78.0		22.0	34.0	PMID12667944
ERYTHROMYCIN	CHEMBL532	12506	75.0		2895.0	8516.0	PMID12667944
ERYTHROMYCIN	CHEMBL532	12506	75.0		102.0	170.0	PMID12667944
CIPROFLOXACIN	CHEMBL8	241	30.0		2408.0	5281.0	PMID12667944
CHLORPHENIRAMINE	CHEMBL505	10358	70.0		2.0	11.0	PMID12667944
AMITRIPTYLINE	CHEMBL629	27072	94.8		11.0	41.0	PMID12667944
DILTIAZEM	CHEMBL23	1278	78.0		53.0	122.0	PMID12667944
TERFENADINE	CHEMBL17157	19569	97.0		0.1	0.29	PMID12667944
OLANZAPINE	CHEMBL715	34197	93.0		1.8	5.2	PMID12667944
MIZOLASTINE	CHEMBL94454	152819	98.4		8.7		PMID12667944
PIMOZIDE	CHEMBL1423	364141	99.0		0.09	0.43	PMID12667944
MIBEFRADIL	CHEMBL45816	72035	99.0		6.0	12.0	PMID12667944
CLARITHROMYCIN	CHEMBL1741	570147	80.0		267.0	1206.0	PMID12667944
BEPRIDIL	CHEMBL1008	112651	99.0		10.0	33.0	PMID12667944
FEXOFENADINE	CHEMBL914	81683	65.0		345.0	345.0	PMID12667944
GREPAFLOXACIN	CHEMBL583	17136	50.0		1669.0	2087.0	PMID12667944
SERTINDOLE	CHEMBL12713	10813	99.5		0.02	1.59	PMID12667944
DOMPERIDONE	CHEMBL219916	364745	90.0		5.0	19.0	PMID12667944
PROCAINAMIDE	CHEMBL640	27341	15.0		27093.0	54186.0	PMID12667944
FLECAINIDE	CHEMBL652	27588	61.0		376.0	753.0	PMID12667944
ASTEMIZOLE	CHEMBL296419	65605	96.7		0.2	0.26	PMID12667944
DOFETILIDE	CHEMBL473	5638	65.0		0.4	2.0	PMID12667944
PROPAFENONE	CHEMBL631	27112	95.0		26.0	241.0	PMID12667944
CISAPRIDE	CHEMBL1729	557741	98.0		2.6	4.9	PMID12667944
TERODILINE	CHEMBL363295	308699	92.0		8.0	12.0	PMID12667944
SPARFLOXACIN	CHEMBL850	65351	45.0		196.0	1766.0	PMID12667944
IBUTILIDE	CHEMBL533	12608	40.0		0.7	140.0	PMID12667944
THIORIDAZINE	CHEMBL479	5970	45.0		208.0	979.0	PMID12667944
DOXEPIN	CHEMBL1628227	1051118	76.0		26.0	129.0	PMID12667944
TACROLIMUS	CHEMBL269732	924	99.0		0.09	0.24	PMID12667944
DROPERIDOL	CHEMBL1108	152751					PMID12667944
PRENYLAMINE	CHEMBL24072	31171					PMID12667944
HALOFANTRINE	CHEMBL1107	152728					PMID12667944
LIDOFLAZINE	CHEMBL92870	150806					PMID12667944
MAPROTILINE	CHEMBL21731	27713	88.0		6.0	130.0	PMID12667944
PENTAMIDINE	CHEMBL55	3965					PMID12667944
AMANTADINE	CHEMBL660	27647	63.0		269.0	739.0	PMID12667944
COCAINE	CHEMBL370805	333370	91.0		16.0	43.0	PMID12667944
KETANSERIN	CHEMBL51	3683	95.0		5.0	18.0	PMID12667944
MEXILETINE	CHEMBL558	15958	63.0		1445.0	4129.0	PMID12667944
PAPAVERINE	CHEMBL19224	21716	90.0		59.0	80.0	PMID12667944
PERHEXILINE	CHEMBL75880	119288			540.0	2378.0	PMID12667944
PROBUCOL	CHEMBL608	22641					PMID12667944
ZIMELDINE	CHEMBL37744	54070					PMID12667944
AMLODIPINE	CHEMBL1491	418414	93.0		0.34	1.75	PMID12667944
CLEMASTINE	CHEMBL1626	469763			1.3	4.7	PMID12667944
CYPROHEPTADINE	CHEMBL516	11005					PMID12667944
DOXORUBICIN	CHEMBL53463	78759	79.0	85.0			PMID12667944
ENCAINIDE	CHEMBL315838	139046	70.0		213.0		PMID12667944
HYDROXYZINE	CHEMBL896	77459					PMID12667944
PYRILAMINE	CHEMBL511	10661					PMID12667944
QUETIAPINE	CHEMBL716	34234	83.0		10.0	33.0	PMID12667944
