Original drug name	chembl_id	molregno	Original synonyms	PPB lower	PPB upper	PMID
ACETAMINOPHEN	CHEMBL112	16450		0.0		PMID22210121
ALPRAZOLAM	CHEMBL661	27648		71.0		PMID22210121
AMILORIDE	CHEMBL945	89526		40.0		PMID22210121
AMIODARONE	CHEMBL633	27185		99.98		PMID22210121
AMOBARBITAL	CHEMBL267894	2366		61.0		PMID22210121
AMPHOTERICIN B	CHEMBL267345	8873		90.0		PMID22210121
ASPIRIN	CHEMBL25	1280		55.0		PMID22210121
ATENOLOL	CHEMBL24	1279		5.0		PMID22210121
BENOXAPROFEN	CHEMBL340978	219327		99.0		PMID22210121
BENZYLPENICILLIN	CHEMBL29	1615		65.0		PMID22210121
BETAMETHASONE	CHEMBL632	27152		64.0		PMID22210121
BROMAZEPAM	CHEMBL277062	16960		60.0		PMID22210121
BUDESONIDE	CHEMBL1370	313314		88.0		PMID22210121
BUMETANIDE	CHEMBL1072	139281		99.0		PMID22210121
BUPIVACAINE	CHEMBL1098	150882		95.0		PMID22210121
BUPRENORPHINE	CHEMBL511142	446784		96.0		PMID22210121
BUPROPION	CHEMBL894	77128		84.0		PMID22210121
CAPTOPRIL	CHEMBL1560	444750		30.0		PMID22210121
CARBAMAZEPINE	CHEMBL108	15086		76.0		PMID22210121
CARBENICILLIN	CHEMBL1214	218758		50.0		PMID22210121
CARBENOXOLONE	CHEMBL499915	454298		99.0		PMID22210121
CARBOPLATIN	CHEMBL1351	300022		0.0		PMID22210121
CARPROFEN	CHEMBL1316	264453		99.0		PMID22210121
CEFACLOR	CHEMBL680	29005		24.7		PMID22210121
CEFADROXIL	CHEMBL1644	485902		20.0		PMID22210121
CEFAMANDOLE	CHEMBL1146	180228		74.0		PMID22210121
CEFAZOLIN	CHEMBL1435	371631		87.5		PMID22210121
CEFIXIME	CHEMBL1541	430642		67.0		PMID22210121
CEFONICID	CHEMBL1601	454514		98.0		PMID22210121
CEFOPERAZONE	CHEMBL507674	508755		91.0		PMID22210121
CEFORANIDE	CHEMBL1201046	674997		80.0	82.0	PMID22210121
CEFOTAXIME	CHEMBL1730	558106		38.0		PMID22210121
CEFOTETAN	CHEMBL474579	458729		85.0		PMID22210121
CEFOXITIN	CHEMBL996	109807		76.5		PMID22210121
CEFSULODIN	CHEMBL3351077	1799684		45.0		PMID22210121
CEFTAZIDIME	CHEMBL44354	61682		15.5		PMID22210121
CEFTRIAXONE	CHEMBL161	83724		93.8		PMID22210121
CEFUROXIME	CHEMBL1436	371655		31.5		PMID22210121
CEPHALEXIN	CHEMBL1727	555972		14.5		PMID22210121
CEPHALOTHIN	CHEMBL617	24991		68.0		PMID22210121
CEPHAPIRIN	CHEMBL1599	454446		62.0		PMID22210121
CEPHRADINE	CHEMBL1604	454576		12.0		PMID22210121
CHLORDIAZEPOXIDE	CHEMBL451	2431		96.5		PMID22210121
CHLOROTHIAZIDE	CHEMBL842	62615		82.3		PMID22210121
CHLORPROMAZINE	CHEMBL71	6216		97.8		PMID22210121
