Original drug name	Original synonyms	Fu	PMID	inchi_key	SMILES
16-acetyl gitoxin		0.07	PMID30115648	NEBPBFLVSYFRQE-ZYMOIYFGSA-N	C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1
5-Hydroxymethyl tolterodine		0.5	PMID30115648	DUXZAXCGJSBGDW-HXUWFJFHSA-N	CC(C)N(CC[C@H](C(C=CC=C1)=C1)C1C(=CC=C(C=1)CO)O)C(C)C
Abacavir		0.5	PMID30115648	MCGSCOLBFJQGHM-SCZZXKLOSA-N	Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1
Acamprosate		1.0	PMID30115648	AFCGFAGUEYAMAO-UHFFFAOYSA-N	OS(=O)(=O)CCCNC(=O)C
Acebutolol		0.74	PMID30115648	GOEMGAFJFRBGGG-UHFFFAOYSA-N	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C
Acecainide	N-acetylprocainamide	0.9	PMID30115648	KEECCEWTUVWFCV-UHFFFAOYSA-N	CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1
Acenocoumarol		0.02	PMID30115648	VABCILAOYCMVPS-OAHLLOKOSA-N	[H]OC1=C(C(=O)Oc2ccccc12)[C@H](CC(C)=O)c1ccc(cc1)[N+]([O-])=O
Acetaminophen		0.52	PMID30115648	RZVAJINKPMORJF-UHFFFAOYSA-N	CC(=O)Nc1ccc(O)cc1
Acetazolamide		0.04	PMID30115648	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(s1)S(=O)(=O)N
Acetylcysteine, N-		0.17	PMID30115648	PWKSKIMOESPYIA-BYPYZUCNSA-N	CC(=O)N[C@@H](CS)C(=O)O
Acetylmethadol, L-		0.2	PMID30115648	XBMIVRRWGCYBTQ-AVRDEDQJSA-N	CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2
Acetylsalicylic Acid		0.68	PMID30115648	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	CC(=O)Oc1ccccc1C(=O)O
Actisomide		0.7	PMID30115648	QAHRRCMLXFLZTF-FYYLOGMGSA-N	CC(C)N(CC[C@@]1(C(N=C(C)N2CCCC[C@H]12)=O)c1ccccc1)C(C)C
Acyclovir		0.85	PMID30115648	MKUXAQIIEYXACX-UHFFFAOYSA-N	NC1=Nc2c(ncn2COCCO)C(=O)N1
Adefovir		0.96	PMID30115648	SUPKOOSCJHTBAH-UHFFFAOYSA-N	Nc1ncnc2c1ncn2CCOCP(=O)(O)O
Adinazolam		0.31	PMID30115648	GJSLOMWRLALDCT-UHFFFAOYSA-N	CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
Ajmaline		0.24	PMID30115648	CJDRUOGAGYHKKD-IWMNNKGHSA-N	CC[C@@H]1[C@H](N2[C@H]3CC1C4[C@@H]2CC5([C@H]3N(c6c5cccc6)C)[C@@H]4O)O
Albuterol	salbutamol	0.92	PMID30115648	NDAUXUAQIAJITI-UHFFFAOYSA-N	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
Alectinib		0.003	PMID30115648	KDGFLJKFZUIJMX-UHFFFAOYSA-N	CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C
Alendronate		0.22	PMID30115648	OGSPWJRAVKPPFI-UHFFFAOYSA-N	C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O
Alfentanil		0.0859999999999999	PMID30115648	IDBPHNDTYPBSNI-UHFFFAOYSA-N	CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O
Alfuzosin		0.14	PMID30115648	WNMJYKCGWZFFKR-UHFFFAOYSA-N	COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3
Alinidine		0.4	PMID30115648	OXTYVEUAQHPPMV-UHFFFAOYSA-N	N(c1c(cccc1Cl)Cl)(C=1NCCN1)CC=C
Allopurinol		0.97	PMID30115648	OFCNXPDARWKPPY-UHFFFAOYSA-N	O=C1NC=Nc2[nH]ncc12
Almitrine		0.01	PMID30115648	OBDOVFRMEYHSQB-UHFFFAOYSA-N	C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1
Almotriptan		0.6	PMID30115648	WKEMJKQOLOHJLZ-UHFFFAOYSA-N	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
Alosetron		0.18	PMID30115648	JSWZEAMFRNKZNL-UHFFFAOYSA-N	Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C
Alprazolam		0.29	PMID30115648	VREFGVBLTWBCJP-UHFFFAOYSA-N	Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
Alprenolol		0.18	PMID30115648	PAZJSJFMUHDSTF-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccccc1CC=C
Alvimopan		0.2	PMID30115648	UPNUIXSCZBYVBB-JVFUWBCBSA-N	C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O
Amantadine		0.33	PMID30115648	DKNWSYNQZKUICI-UHFFFAOYSA-N	NC12CC3CC(CC(C3)C1)C2
Amdinocillin		0.9	PMID30115648	BWWVAEOLVKTZFQ-ISVUSNJMSA-N	CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
Amikacin		0.88	PMID30115648	LKCWBDHBTVXHDL-RMDFUYIESA-N	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O
Aminocamptothecin, 9-		0.003	PMID30115648	FUXVKZWTXQUGMW-FQEVSTJZSA-N	CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O
Aminohexanoic acid, 6-		0.92	PMID30115648	SLXKOJJOQWFEFD-UHFFFAOYSA-N	NCCCCCC(=O)O
Aminolevulinic acid		0.88	PMID30115648	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	NCC(CCC(O)=O)=O
Aminosalicylic acid, 5-		0.39	PMID30115648	KBOPZPXVLCULAV-UHFFFAOYSA-N	Nc1ccc(O)c(c1)C(=O)O
Amiodarone 		0.0002	PMID30115648	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
Amiprilose		0.97	PMID30115648	YXBQLONCIPUQKO-UJPOAAIJSA-N	O1[C@H]2[C@@H]([C@H]([C@H]1[C@H](O)CO)OCCCN(C)C)OC(C)(C)O2
Amitriptyline		0.07	PMID30115648	KRMDCWKBEZIMAB-UHFFFAOYSA-N	CN(C)CCC=C1c2ccccc2CCc3ccccc13
Amlodipine		0.005	PMID30115648	HTIQEAQVCYTUBX-UHFFFAOYSA-N	CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C
Amoxicillin		0.85	PMID30115648	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
AMP579		0.03	PMID30115648	CKQOOYMMAAPDKH-QODLLSGVSA-N	CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC
Amphetamine	-d	0.8	PMID30115648	KWTSXDURSIMDCE-QMMMGPOBSA-N	c1(ccccc1)C[C@H](C)N
Amphotericin B		0.03	PMID30115648	APKFDSVGJQXUKY-UYNBOLSMSA-N	[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H]
Ampicillin		0.85	PMID30115648	AVKUERGKIZMTKX-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Amrinone		0.89	PMID30115648	RNLQIBCLLYYYFJ-UHFFFAOYSA-N	NC1=CC(=CNC1=O)c2ccncc2
Amsacrine		0.029	PMID30115648	XCPGHVQEEXUHNC-UHFFFAOYSA-N	COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24
Amsalog		0.0011	PMID30115648	TWHSQQYCDVSBRK-UHFFFAOYSA-N	CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12
