Original drug name	chembl_id	molregno	Original synonyms	Fu	PMID	inchi_key	SMILES
ABACAVIR	CHEMBL1380	321707		0.5	PMID30115648	MCGSCOLBFJQGHM-SCZZXKLOSA-N	Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1
ACAMPROSATE	CHEMBL1201293	675244		1.0	PMID30115648	AFCGFAGUEYAMAO-UHFFFAOYSA-N	OS(=O)(=O)CCCNC(=O)C
ACEBUTOLOL	CHEMBL642	27347		0.74	PMID30115648	GOEMGAFJFRBGGG-UHFFFAOYSA-N	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C
ACETAMINOPHEN	CHEMBL112	16450		0.52	PMID30115648	RZVAJINKPMORJF-UHFFFAOYSA-N	CC(=O)Nc1ccc(O)cc1
ACETAZOLAMIDE	CHEMBL20	1125		0.04	PMID30115648	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(s1)S(=O)(=O)N
ACETYLCYSTEINE, N-	CHEMBL600	20881		0.17	PMID30115648	PWKSKIMOESPYIA-BYPYZUCNSA-N	CC(=O)N[C@@H](CS)C(=O)O
ACETYLMETHADOL, L-	CHEMBL1514	421070		0.2	PMID30115648	XBMIVRRWGCYBTQ-AVRDEDQJSA-N	CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2
ACETYLSALICYLIC ACID	CHEMBL25	1280		0.68	PMID30115648	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	CC(=O)Oc1ccccc1C(=O)O
ACYCLOVIR	CHEMBL184	365538		0.85	PMID30115648	MKUXAQIIEYXACX-UHFFFAOYSA-N	NC1=Nc2c(ncn2COCCO)C(=O)N1
ALBUTEROL	CHEMBL714	34094	salbutamol	0.92	PMID30115648	NDAUXUAQIAJITI-UHFFFAOYSA-N	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
ALECTINIB	CHEMBL1738797	1117844		0.003	PMID30115648	KDGFLJKFZUIJMX-UHFFFAOYSA-N	CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C
ALENDRONATE	CHEMBL870	70674		0.22	PMID30115648	OGSPWJRAVKPPFI-UHFFFAOYSA-N	C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O
ALFENTANIL	CHEMBL634	27190		0.0859999999999999	PMID30115648	IDBPHNDTYPBSNI-UHFFFAOYSA-N	CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O
ALFUZOSIN	CHEMBL709	33667		0.14	PMID30115648	WNMJYKCGWZFFKR-UHFFFAOYSA-N	COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3
ALLOPURINOL	CHEMBL1467	395607		0.97	PMID30115648	OFCNXPDARWKPPY-UHFFFAOYSA-N	O=C1NC=Nc2[nH]ncc12
ALMITRINE	CHEMBL1183717	657667		0.01	PMID30115648	OBDOVFRMEYHSQB-UHFFFAOYSA-N	C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1
ALMOTRIPTAN	CHEMBL1505	420985		0.6	PMID30115648	WKEMJKQOLOHJLZ-UHFFFAOYSA-N	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
ALOSETRON	CHEMBL1110	153342		0.18	PMID30115648	JSWZEAMFRNKZNL-UHFFFAOYSA-N	Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C
ALPRAZOLAM	CHEMBL661	27648		0.29	PMID30115648	VREFGVBLTWBCJP-UHFFFAOYSA-N	Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
ALVIMOPAN	CHEMBL270190	435293		0.2	PMID30115648	UPNUIXSCZBYVBB-JVFUWBCBSA-N	C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O
AMANTADINE	CHEMBL660	27647		0.33	PMID30115648	DKNWSYNQZKUICI-UHFFFAOYSA-N	NC12CC3CC(CC(C3)C1)C2
AMDINOCILLIN	CHEMBL530	12465		0.9	PMID30115648	BWWVAEOLVKTZFQ-ISVUSNJMSA-N	CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
AMIKACIN	CHEMBL177	333157		0.88	PMID30115648	LKCWBDHBTVXHDL-RMDFUYIESA-N	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O
