Original source Substance	pref_name	chembl_id	molregno	mw_freebase	Blood-plasma concentration, therapeutic (normal) upper limit	Unit
ABACAVIR	ABACAVIR	CHEMBL1380	321707	286.34	3.9	mg/L
ACAMPROSATE	ACAMPROSATE	CHEMBL1201293	675244	181.21	0.7	mg/L
ACEBUTOLOL	ACEBUTOLOL	CHEMBL642	27347	336.43	2.0	mg/L
ACENOCOUMAROL	ACENOCOUMAROL	CHEMBL397420	394206	353.33	0.5	mg/L
PARACETAMOL	ACETAMINOPHEN	CHEMBL112	16450	151.16	25.0	mg/L
ACETAZOLAMIDE	ACETAZOLAMIDE	CHEMBL20	1125	222.25	20.0	mg/L
ACETOHEXAMIDE	ACETOHEXAMIDE	CHEMBL1589	454070	324.4	70.0	mg/L
ACITRETIN	ACITRETIN	CHEMBL1131	169652	326.44	0.05	mg/L
ACRIVASTINE	ACRIVASTINE	CHEMBL1224	226880	348.45	0.07	mg/L
ACYCLOVIR	ACYCLOVIR	CHEMBL184	365538	225.21	15.0	mg/L
ADALIMUMAB	ADALIMUMAB	CHEMBL1201580	675482		9.0	mg/L
AGOMELATINE	AGOMELATINE	CHEMBL10878	8209	243.31	0.3	mg/L
ALBENDAZOLE	ALBENDAZOLE	CHEMBL1483	406787	265.34	1.5	mg/L
SALBUTAMOL	ALBUTEROL	CHEMBL714	34094	239.31	0.02	mg/L
ALCURONIUM	ALCURONIUM	CHEMBL1180293	654243	666.91	3.0	mg/L
ALENDRONATE	ALENDRONIC ACID	CHEMBL870	70674	249.1	0.265	mg/L
ALFENTANIL	ALFENTANIL	CHEMBL634	27190	416.53	0.6	mg/L
ALFUZOSINE	ALFUZOSIN	CHEMBL709	33667	389.46	0.06	mg/L
ALLOPURINOL	ALLOPURINOL	CHEMBL1467	395607	136.11	19.0	mg/L
ALMOTRIPTAN	ALMOTRIPTAN	CHEMBL1505	420985	335.47	0.07	mg/L
ALPRAZOLAM	ALPRAZOLAM	CHEMBL661	27648	308.77	0.08	mg/L
AMANTADINE	AMANTADINE	CHEMBL660	27647	151.25	1.0	mg/L
3,4-DIAMINOPYRIDIN	AMIFAMPRIDINE	CHEMBL354077	282661	109.13	0.1	mg/L
AMIKACIN	AMIKACIN	CHEMBL177	333157	585.61	30.0	mg/L
