Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
ACETAMINOPHEN	CHEMBL112	16450		0.0		PMID22210121	PPB	
ALPRAZOLAM	CHEMBL661	27648		71.0		PMID22210121	PPB	
AMILORIDE	CHEMBL945	89526		40.0		PMID22210121	PPB	
AMIODARONE	CHEMBL633	27185		99.98		PMID22210121	PPB	
AMOBARBITAL	CHEMBL267894	2366		61.0		PMID22210121	PPB	
AMPHOTERICIN B	CHEMBL267345	8873		90.0		PMID22210121	PPB	
ASPIRIN	CHEMBL25	1280		55.0		PMID22210121	PPB	
ATENOLOL	CHEMBL24	1279		5.0		PMID22210121	PPB	
BENOXAPROFEN	CHEMBL340978	219327		99.0		PMID22210121	PPB	
BENZYLPENICILLIN	CHEMBL29	1615		65.0		PMID22210121	PPB	
BETAMETHASONE	CHEMBL632	27152		64.0		PMID22210121	PPB	
BROMAZEPAM	CHEMBL277062	16960		60.0		PMID22210121	PPB	
BUDESONIDE	CHEMBL1370	313314		88.0		PMID22210121	PPB	
BUMETANIDE	CHEMBL1072	139281		99.0		PMID22210121	PPB	
BUPIVACAINE	CHEMBL1098	150882		95.0		PMID22210121	PPB	
BUPRENORPHINE	CHEMBL511142	446784		96.0		PMID22210121	PPB	
BUPROPION	CHEMBL894	77128		84.0		PMID22210121	PPB	
CAPTOPRIL	CHEMBL1560	444750		30.0		PMID22210121	PPB	
CARBAMAZEPINE	CHEMBL108	15086		76.0		PMID22210121	PPB	
CARBENICILLIN	CHEMBL1214	218758		50.0		PMID22210121	PPB	
CARBENOXOLONE	CHEMBL499915	454298		99.0		PMID22210121	PPB	
CARBOPLATIN	CHEMBL1351	300022		0.0		PMID22210121	PPB	
CARPROFEN	CHEMBL1316	264453		99.0		PMID22210121	PPB	
CEFACLOR	CHEMBL680	29005		24.7		PMID22210121	PPB	
CEFADROXIL	CHEMBL1644	485902		20.0		PMID22210121	PPB	
CEFAMANDOLE	CHEMBL1146	180228		74.0		PMID22210121	PPB	
CEFAZOLIN	CHEMBL1435	371631		87.5		PMID22210121	PPB	
CEFIXIME	CHEMBL1541	430642		67.0		PMID22210121	PPB	
CEFONICID	CHEMBL1601	454514		98.0		PMID22210121	PPB	
CEFOPERAZONE	CHEMBL507674	508755		91.0		PMID22210121	PPB	
CEFORANIDE	CHEMBL1201046	674997		80.0	82.0	PMID22210121	PPB	
CEFOTAXIME	CHEMBL1730	558106		38.0		PMID22210121	PPB	
CEFOTETAN	CHEMBL474579	458729		85.0		PMID22210121	PPB	
CEFOXITIN	CHEMBL996	109807		76.5		PMID22210121	PPB	
CEFSULODIN	CHEMBL3351077	1799684		45.0		PMID22210121	PPB	
CEFTAZIDIME	CHEMBL44354	61682		15.5		PMID22210121	PPB	
CEFTRIAXONE	CHEMBL161	83724		93.8		PMID22210121	PPB	
CEFUROXIME	CHEMBL1436	371655		31.5		PMID22210121	PPB	
CEPHALEXIN	CHEMBL1727	555972		14.5		PMID22210121	PPB	
CEPHALOTHIN	CHEMBL617	24991		68.0		PMID22210121	PPB	
CEPHAPIRIN	CHEMBL1599	454446		62.0		PMID22210121	PPB	
CEPHRADINE	CHEMBL1604	454576		12.0		PMID22210121	PPB	
CHLORDIAZEPOXIDE	CHEMBL451	2431		96.5		PMID22210121	PPB	
CHLOROTHIAZIDE	CHEMBL842	62615		82.3		PMID22210121	PPB	
CHLORPROMAZINE	CHEMBL71	6216		97.8		PMID22210121	PPB	
CHLORPROPAMIDE	CHEMBL498	8516		96.0		PMID22210121	PPB	
CLOFIBRATE	CHEMBL565	16415		96.5		PMID22210121	PPB	
CLOMETACIN	CHEMBL13376	11685		99.0		PMID22210121	PPB	
CLONAZEPAM	CHEMBL452	2465		86.0		PMID22210121	PPB	
CLOZAPINE	CHEMBL42	2261		95.0		PMID22210121	PPB	
DAPSONE	CHEMBL1043	126356		73.0		PMID22210121	PPB	
DESIPRAMINE	CHEMBL72	6243		86.0		PMID22210121	PPB	
DIAZEPAM	CHEMBL12	721		99.0		PMID22210121	PPB	
DICLOFENAC	CHEMBL139	29890		99.5		PMID22210121	PPB	
DIFLUNISAL	CHEMBL898	77652		99.0		PMID22210121	PPB	
DIGITOXIN	CHEMBL254219	419508		93.5		PMID22210121	PPB	
DIGOXIN	CHEMBL1751	581814		25.0		PMID22210121	PPB	
DISOPYRAMIDE	CHEMBL517	11143		89.0		PMID22210121	PPB	
