molregno	pref_name	parent_chembl_id	median_Molar_value	median_pMolar_value
97	PRAZOSIN	CHEMBL2	5.216348034740878e-08	7.282633440181617
115	NICOTINE	CHEMBL3	1.849112426035503e-07	6.733036682933579
146	OFLOXACIN	CHEMBL4	8.025015911669479e-06	5.0955540978211085
147	NALIDIXIC ACID	CHEMBL5	0.00012917671374440234	3.888815768103955
173	INDOMETHACIN	CHEMBL6	5.589871153469912e-06	5.252598202486015
194	SULBACTAM	CHEMBL403	0.0003429943405933802	3.464713045757063
241	CIPROFLOXACIN	CHEMBL8	1.2071827372868568e-05	4.918226983599154
246	NORFLOXACIN	CHEMBL9	1.5657293167157264e-05	4.805283316618867
543	AMPHETAMINE	CHEMBL405	7.395902669920864e-07	6.13100881279064
573	MIANSERIN	CHEMBL6437	2.647804213791278e-07	6.577114131019967
605	IMIPRAMINE	CHEMBL11	7.132158904500391e-07	6.146778989307833
635	FLUMAZENIL	CHEMBL407	3.2971743216063834e-07	6.481858091100589
666	TROGLITAZONE	CHEMBL408	6.3000000000000015e-06	5.200659450546418
717	BICALUTAMIDE	CHEMBL409	2.993633533156745e-05	4.523801365071427
721	DIAZEPAM	CHEMBL12	8.77963125548727e-06	5.0565237240791
789	METOPROLOL	CHEMBL13	1.8700676964506116e-06	5.7281426717186905
921	PHENYTOIN	CHEMBL16	1.6113687715542872e-05	4.792805057269524
923	SIROLIMUS	CHEMBL413	3.28159354182391e-08	7.4839152116664085
924	TACROLIMUS	CHEMBL269732	2.4874693730333447e-08	7.604242257800126
996	CLOMIPRAMINE	CHEMBL415	1.2704058946833514e-06	5.896057499785908
1063	METHOXSALEN	CHEMBL416	9.251121698505944e-07	6.033805605862375
1114	EPIRUBICIN	CHEMBL417	9.199124243372032e-08	7.036253515521232
1125	ACETAZOLAMIDE	CHEMBL20	8.998875140607424e-05	4.04581177397827
1216	TRIMETHOPRIM	CHEMBL22	2.1183521631303392e-05	4.674001839417083
1219	VERAPAMIL	CHEMBL6966	8.798750577418007e-07	6.055578993288119
1223	SULFASALAZINE	CHEMBL421	0.00017570281124497996	3.7552212897374044
1278	DILTIAZEM	CHEMBL23	6.030926591561528e-07	6.219615957729309
1279	ATENOLOL	CHEMBL24	7.5091987684914026e-06	5.124406399745029
1280	ASPIRIN	CHEMBL25	3.857682060390764e-05	4.413673568581138
1325	TRIFLUOPERAZINE	CHEMBL422	1.2269637554906628e-07	6.91116826614251
1333	SULPIRIDE	CHEMBL26	2.928858038250886e-06	5.533301678061803
1354	BETAXOLOL	CHEMBL423	1.6263864944865498e-07	6.788776240736422
1362	SALICYLIC ACID	CHEMBL424	0.00024688676513176955	3.6075021906849187
1370	PROPRANOLOL	CHEMBL27	1.1567379988432618e-06	5.9367649976099415
1380	PRACTOLOL	CHEMBL6995	1.8772996921228507e-05	4.726466391072991
1615	BENZYLPENICILLIN	CHEMBL29	0.0001345693779904306	3.8710537549916353
1620	CIMETIDINE	CHEMBL30	1.3875500297206263e-05	4.857751348933295
1712	GATIFLOXACIN	CHEMBL31	9.057005860415556e-06	5.043015351243072
1785	LABETALOL	CHEMBL429	1.9792332754788224e-06	5.703503016161117
