molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181617	3.1298088208445263e-09	8.504482189797974
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732
146	CHEMBL4	OFLOXACIN	8.025015911669479e-06	5.0955540978211085	6.018761933752108e-06	5.220492834429408
147	CHEMBL5	NALIDIXIC ACID	0.00012917671374440234	3.888815768103955	1.0334137099552187e-05	4.985725781112011
173	CHEMBL6	INDOMETHACIN	5.589871153469912e-06	5.252598202486015	5.5898711534699124e-08	7.252598202486015
194	CHEMBL403	SULBACTAM	0.00034299434059338016	3.464713045757063	0.00021265649116789572	3.6723213562588093
241	CHEMBL8	CIPROFLOXACIN	1.2071827372868566e-05	4.918226983599154	8.450279161007995e-06	5.073128943584897
246	CHEMBL9	NORFLOXACIN	1.5657293167157267e-05	4.805283316618867	2.035448111730445e-06	5.69133996431203
543	CHEMBL405	AMPHETAMINE	7.395902669920864e-07	6.13100881279064	5.916722135936691e-07	6.227918825798696
573	CHEMBL6437	MIANSERIN	2.6478042137912783e-07	6.577114131019966	1.1769489730302234e-07	6.929242365713734
605	CHEMBL11	IMIPRAMINE	7.132158904500391e-07	6.146778989307833	7.132158904500392e-08	7.146778989307833
635	CHEMBL407	FLUMAZENIL	3.297174321606384e-07	6.481858091100589	1.9123611065317025e-07	6.718430097537652
666	CHEMBL408	TROGLITAZONE	6.3000000000000015e-06	5.200659450546418	5.6699999999975305e-09	8.246416941107283
721	CHEMBL12	DIAZEPAM	8.77963125548727e-06	5.0565237240791	2.0193151887620718e-07	6.694795888061508
789	CHEMBL13	METOPROLOL	1.8700676964506118e-06	5.7281426717186905	1.6550099113587916e-06	5.781199401020865
921	CHEMBL16	PHENYTOIN	1.6113687715542872e-05	4.792805057269524	2.077054346533469e-06	5.6825521399161225
924	CHEMBL269732	TACROLIMUS	2.4874693730333447e-08	7.604242257800126	2.4874693730333445e-10	9.604242257800127
996	CHEMBL415	CLOMIPRAMINE	1.2704058946833514e-06	5.896057499785908	4.7513180461157276e-08	7.323185897585428
1063	CHEMBL416	METHOXSALEN	9.251121698505943e-07	6.033805605862375	7.71543549655396e-08	7.112639555224636
1114	CHEMBL417	EPIRUBICIN	9.199124243372033e-08	7.036253515521232	2.2997810608430083e-08	7.638313506849195
1125	CHEMBL20	ACETAZOLAMIDE	8.998875140607425e-05	4.04581177397827	3.59955005624297e-06	5.443751782650308
1216	CHEMBL22	TRIMETHOPRIM	2.1183521631303392e-05	4.674001839417083	1.0591760815651696e-05	4.975031835081064
1219	CHEMBL6966	VERAPAMIL	8.798750577418007e-07	6.055578993288119	8.798750577418008e-08	7.055578993288119
1223	CHEMBL421	SULFASALAZINE	0.00017570281124497996	3.7552212897374044	6.360441767068273e-05	4.196512719204239
1278	CHEMBL23	DILTIAZEM	6.030926591561528e-07	6.219615957729309	1.22e-07	6.913640169325252
