Row ID	PT	PT Code
Abdominal cramps	Abdominal pain	10000081
Abdominal distension	Abdominal distension	10000060
Abdominal pain	Abdominal pain	10000081
Abdominal pain hypersenstivity	Abdominal pain	10000081
Acidosis	Acidosis	10000486
Acne	Acne	10000496
Aggression increased	Aggression	10001488
Agitation	Agitation	10001497
Allergic inflammation	Inflammation	10061218
Anemia	Anaemia	10002034
Anterograde amnesia	Anterograde amnesia	10002711
Anxiety	Anxiety	10002855
Anxiety increased	Anxiety	10002855
Apnea	Apnoea	10002974
Apnoea	Apnoea	10002974
Arteritis	Arteritis	10003230
Ataxia	Ataxia	10003591
Atherothrombosis	Arterial thrombosis	10003178
Atrial fibrillation	Atrial fibrillation	10003658
Atrioventricular block	Atrioventricular block	10003671
Autonomic dysfunction	Autonomic nervous system imbalance	10003840
Bloating	Abdominal distension	10000060
Blood calcium decreased	Blood calcium decreased	10005395
Blood glucose decreased	Blood glucose decreased	10005555
Blood glucose increased	Blood glucose increased	10005557
Blood insulin decreased	Blood insulin decreased	10005613
Blood insulin increased	Blood insulin increased	10005614
Blood phosphate decreased	Blood phosphorus decreased	10049471
Blood potassium decreased	Blood potassium decreased	10005724
Blood pressure decreased	Blood pressure decreased	10005734
Blood pressure increased	Blood pressure increased	10005750
Blurred vision	Vision blurred	10047513
Body temperature decreased	Body temperature decreased	10005910
Body temperature increased	Body temperature increased	10005911
Bone mass decreased	Bone density decreased	10049470
Bone pain	Bone pain	10006002
Bradycardia	Bradycardia	10006093
Breast carcinoma increased	Breast cancer	10006187
Bronchoconstriction	Bronchospasm	10006482
Bronchoconstriction increased	Bronchospasm	10006482
Bronchorrhea	Increased bronchial secretion	10062530
Bronchospasm	Bronchospasm	10006482
Bronchospasm increased	Bronchospasm	10006482
Cardiac arrest increased	Cardiac arrest	10007515
Cardiac arrhythmia	Arrhythmia	10003119
Cardiac hypertrophy	Cardiac hypertrophy	10007572
Cardiac ischemia	Myocardial ischaemia	10028600
Cardiac ischemia (block)	Myocardial ischaemia	10028600
Cardiac output decreased	Cardiac output decreased	10007595
Cardiac output increased	Cardiac output increased	10007596
Cardiac valvulopathy	Cardiac valve disease	10061406
Catalepsy	Waxy flexibility	10047853
Causes sedation	Sedation	10039897
Causes vasoconstriction (venous)	Vasoconstriction	10047139
Centrally blood pressure decreased	Blood pressure decreased	10005734
Cholestasis	Cholestasis	10008635
Chronic heart failure	Cardiac failure chronic	10007558
