Formatted effect	MedDRA PT code	MedDRA PT	Other level	Other level code	Other level term	Parsing mistake	Comments
A1 adrenergic activation increased							
Abnormal face	10066054	Dysmorphism					
Abnormal mouth movements	10013916	Dyskinesia					
Abnormal pulse	10037466	Pulse abnormal					
Abuse liability	10013654	Drug abuse					
Abuse potential	10013654	Drug abuse					
Acid secretion decreased	10060040	Gastric pH increased					
Activation of dopamine-mediated behaviour							
Addictive psychostimulation	10013663	Drug dependence					
Adrenergic hyperactivity increased							
Adrenocorticotropic hormone increased	10005452	Blood corticotrophin decreased					
Adrenocoticotropic hormone increased	10005452	Blood corticotrophin decreased					
Aggression decreased							
Airway responsiveness to antigens increased							
Aldosterone secretion	10005296	Blood aldosterone increased					
Aldosterone secretion increased	10005296	Blood aldosterone increased					
Allergic conditions	10020751	Hypersensitivity					
Allergic responses decreased							
Allergic responses of flare	10020751	Hypersensitivity					
Allergic responses of flush	10046735	Urticaria					
Allergic responses of wheal	10016825	Flushing					
Analgesia							
Androgenicity in females							
Anti-emetic effects							
Anti-inflammatory activities							
Anti-inflammatory activity							
Anti-mitogenic effects							
Anticonvulsant							
Antidepressant							
Antidepressant-like activities							
Anxiety decreased							
Anxiogenic	10002855	Anxiety					
Anxiolysis							
Appetite decreased	10061428	Decreased appetite					
Arousal	10080831	Hyperarousal					
Arousal increased	10080831	Hyperarousal					
Arrhythmia decreased							
Atheroschlerosis	10003210	Arteriosclerosis					
Atrial refractory period increased							
Attention decreased	10013496	Disturbance in attention					
Blood pressure changes	10005750	Blood pressure increased					
Blood pressure changes	10005734	Blood pressure decreased					
Blood pressure when combined with amines such as tyramine increased	10005750	Blood pressure increased					
Blood volume decreased	10047689	Volume blood decreased					
Body weight decreased	10047895	Weight decreased					
Body weight increased	10047899	Weight increased					
Bone marrow erythropoiesis decreased							
Bone metastasis	10027452	Metastases to bone					
Bronchial constriction increased	10006482	Bronchospasm					
Bronchial secretion	10062530	Increased bronchial secretion					
Bronchial secretions increased	10062530	Increased bronchial secretion					
Bronchoconstriction decreased							
Bronchodilation							
Cardiac action potential duration decreased							
Cardiac anomaly	10052088	Foetal cardiac disorder					context developmental toxicity
Cardiac anomaly	10019273	Heart disease congenital					context developmental toxicity
Cardiac conduction decreased			HLT	10000032	Cardiac conduction disorders		
Cardiac conduction decreased (PR interval)			HLT	10000032	Cardiac conduction disorders		
Cardiac contractility decreased	10007554	Cardiac failure					
