chembl_id	molregno	parent_molregno	parent_chembl_id	stitch_stereo
CHEMBL1000	111185	111185	CHEMBL1000	CID000002678
CHEMBL1002	111482	111482	CHEMBL1002	CID000123600
CHEMBL1006	112480	112480	CHEMBL1006	CID000002141
CHEMBL1008	112651	112651	CHEMBL1008	CID000002351
CHEMBL1014	116349	116349	CHEMBL1014	CID000002540
CHEMBL1016	116848	116848	CHEMBL1016	CID000002541
CHEMBL1017	116949	116949	CHEMBL1017	CID000065999
CHEMBL1021	119162	119162	CHEMBL1021	CID000151075
CHEMBL1023	119498	119498	CHEMBL1023	CID000082146
CHEMBL1024	119640	119640	CHEMBL1024	CID000003690
CHEMBL1027	122170	122170	CHEMBL1027	CID000060648
CHEMBL1029	122901	122901	CHEMBL1029	CID000051634
CHEMBL103	12825	12825	CHEMBL103	CID000005994
CHEMBL104	13494	13494	CHEMBL104	CID000002812
CHEMBL1043	126356	126356	CHEMBL1043	CID000002955
CHEMBL1046	127755	127755	CHEMBL1046	CID000000564
CHEMBL104943	172066	172066	CHEMBL104943	CID000000700
CHEMBL105	13590	13590	CHEMBL105	CID000005746
CHEMBL1051	132003	132003	CHEMBL1051	CID005311221
CHEMBL1055	134333	134333	CHEMBL1055	CID000002732
CHEMBL1057	134966	134966	CHEMBL1057	CID000016850
CHEMBL1059	136161	136161	CHEMBL1059	CID005486971
CHEMBL106	13758	13758	CHEMBL106	CID000003365
CHEMBL1062	138037	138037	CHEMBL1062	CID000006238
CHEMBL1064	138562	138562	CHEMBL1064	CID000054454
CHEMBL1065	138605	138605	CHEMBL1065	CID000009681
CHEMBL1066	138661	138661	CHEMBL1066	CID000033741
CHEMBL1068	139014	139014	CHEMBL1068	CID000034312
CHEMBL1069	139045	139045	CHEMBL1069	CID000060846
CHEMBL107	14440	14440	CHEMBL107	CID000006167
CHEMBL1070	139210	139210	CHEMBL1070	CID000004409
CHEMBL1071	139225	139225	CHEMBL1071	CID000004614
CHEMBL1072	139281	139281	CHEMBL1072	CID000002471
CHEMBL1073	139286	139286	CHEMBL1073	CID000003478
