chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1000	111185	111185	CHEMBL1000
CHEMBL1002	111482	111482	CHEMBL1002
CHEMBL1006	112480	112480	CHEMBL1006
CHEMBL1008	112651	112651	CHEMBL1008
CHEMBL1014	116349	116349	CHEMBL1014
CHEMBL1016	116848	116848	CHEMBL1016
CHEMBL1017	116949	116949	CHEMBL1017
CHEMBL1021	119162	119162	CHEMBL1021
CHEMBL1023	119498	119498	CHEMBL1023
CHEMBL1024	119640	119640	CHEMBL1024
CHEMBL1027	122170	122170	CHEMBL1027
CHEMBL1029	122901	122901	CHEMBL1029
CHEMBL103	12825	12825	CHEMBL103
CHEMBL104	13494	13494	CHEMBL104
CHEMBL1043	126356	126356	CHEMBL1043
CHEMBL1046	127755	127755	CHEMBL1046
CHEMBL104943	172066	172066	CHEMBL104943
CHEMBL105	13590	13590	CHEMBL105
CHEMBL1051	132003	132003	CHEMBL1051
CHEMBL1055	134333	134333	CHEMBL1055
CHEMBL1057	134966	134966	CHEMBL1057
CHEMBL1059	136161	136161	CHEMBL1059
CHEMBL106	13758	13758	CHEMBL106
CHEMBL1062	138037	138037	CHEMBL1062
CHEMBL1064	138562	138562	CHEMBL1064
CHEMBL1065	138605	138605	CHEMBL1065
CHEMBL1066	138661	138661	CHEMBL1066
CHEMBL1068	139014	139014	CHEMBL1068
CHEMBL1069	139045	139045	CHEMBL1069
CHEMBL107	14440	14440	CHEMBL107
CHEMBL1070	139210	139210	CHEMBL1070
CHEMBL1071	139225	139225	CHEMBL1071
CHEMBL1072	139281	139281	CHEMBL1072
CHEMBL1073	139286	139286	CHEMBL1073
CHEMBL1077	140107	140107	CHEMBL1077
CHEMBL1078	140116	140116	CHEMBL1078
CHEMBL1079	140117	140117	CHEMBL1079
CHEMBL1079604	611679	611679	CHEMBL1079604
CHEMBL107979	180623	180623	CHEMBL107979
CHEMBL108	15086	15086	CHEMBL108
CHEMBL1082	143284	143284	CHEMBL1082
CHEMBL1082407	630886	630886	CHEMBL1082407
CHEMBL1083659	630322	630322	CHEMBL1083659
CHEMBL1086863	613911	613911	CHEMBL1086863
CHEMBL1087	147981	147981	CHEMBL1087
CHEMBL10878	8209	8209	CHEMBL10878
CHEMBL1089	148018	148018	CHEMBL1089
CHEMBL109	15217	15217	CHEMBL109
CHEMBL1092067	622931	613911	CHEMBL1086863
CHEMBL1094	150451	150451	CHEMBL1094
CHEMBL1094966	624172	624172	CHEMBL1094966
CHEMBL1095	150452	150452	CHEMBL1095
CHEMBL1095097	626453	626453	CHEMBL1095097
CHEMBL1095777	625589	625589	CHEMBL1095777
CHEMBL1095930	624296	624296	CHEMBL1095930
CHEMBL1096	150549	150549	CHEMBL1096
CHEMBL1096882	624161	624161	CHEMBL1096882
CHEMBL1098	150882	150882	CHEMBL1098
CHEMBL1098319	624467	624467	CHEMBL1098319
CHEMBL11	605	605	CHEMBL11
CHEMBL1104	151408	151408	CHEMBL1104
CHEMBL1106	152610	152610	CHEMBL1106
CHEMBL1108	152751	152751	CHEMBL1108
CHEMBL1110	153342	153342	CHEMBL1110
CHEMBL1111	154051	154051	CHEMBL1111
CHEMBL1112	155006	155006	CHEMBL1112
CHEMBL1113	155045	155045	CHEMBL1113
CHEMBL111461	182232	182232	CHEMBL111461
CHEMBL1115	157330	157330	CHEMBL1115
CHEMBL1117	158277	158277	CHEMBL1117
CHEMBL1118	161281	161281	CHEMBL1118
CHEMBL112	16450	16450	CHEMBL112
CHEMBL1121	164064	164064	CHEMBL1121
CHEMBL1123	165774	165774	CHEMBL1123
CHEMBL1129	169321	169321	CHEMBL1129
CHEMBL113	16485	16485	CHEMBL113
CHEMBL1131	169652	169652	CHEMBL1131
CHEMBL1136	171587	171587	CHEMBL1136
CHEMBL1138	175106	175106	CHEMBL1138
CHEMBL1139	175331	175331	CHEMBL1139
CHEMBL1144	178796	178796	CHEMBL1144
CHEMBL1148	180329	180329	CHEMBL1148
CHEMBL1149	181939	181939	CHEMBL1149
CHEMBL115	17170	17170	CHEMBL115
CHEMBL1152	182546	182546	CHEMBL1152
CHEMBL1159650	641189	641189	CHEMBL1159650
CHEMBL116	17347	17347	CHEMBL116
CHEMBL1160819	642358	642358	CHEMBL1160819
CHEMBL1161	187696	187696	CHEMBL1161
CHEMBL1161632	643171	643171	CHEMBL1161632
